user_id,topic,solved_count,avg_solved,recommendation
S001,Array,36,49.37,Focus more on this topic
S001,Binary Search,1,1.2280701754385965,Focus more on this topic
S001,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S001,Graph,1,1.148936170212766,Focus more on this topic
S001,Math,7,8.634,Focus more on this topic
S001,Stack,1,1.3608695652173912,Focus more on this topic
S001,String,5,8.428857715430862,Focus more on this topic
S001,Two Pointers,2,2.1105527638190953,Focus more on this topic
S001,nan,3,3.3621052631578947,Focus more on this topic
S002,Array,43,49.37,Focus more on this topic
S002,Backtracking,1,1.0909090909090908,Focus more on this topic
S002,Breadth-First Search,1,1.069767441860465,Focus more on this topic
S002,Database,6,9.34,Focus more on this topic
S002,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S002,Hash Table,3,6.33,Focus more on this topic
S002,Linked List,1,1.7715877437325904,Focus more on this topic
S002,Stack,1,1.3608695652173912,Focus more on this topic
S002,String,5,8.428857715430862,Focus more on this topic
S002,Tree,2,3.3340292275574113,Focus more on this topic
S002,nan,3,3.3621052631578947,Focus more on this topic
S003,Backtracking,1,1.0909090909090908,Focus more on this topic
S003,Binary Search,1,1.2280701754385965,Focus more on this topic
S003,Database,7,9.34,Focus more on this topic
S003,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S003,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S003,Linked List,1,1.7715877437325904,Focus more on this topic
S003,Math,8,8.634,Focus more on this topic
S003,String,7,8.428857715430862,Focus more on this topic
S003,Tree,1,3.3340292275574113,Focus more on this topic
S003,Two Pointers,2,2.1105527638190953,Focus more on this topic
S004,Database,7,9.34,Focus more on this topic
S004,Design,1,1.0776699029126213,Focus more on this topic
S004,Math,7,8.634,Focus more on this topic
S005,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S005,Design,1,1.0776699029126213,Focus more on this topic
S005,Hash Table,4,6.33,Focus more on this topic
S005,Math,8,8.634,Focus more on this topic
S005,Shell,1,1.0649350649350648,Focus more on this topic
S005,Stack,1,1.3608695652173912,Focus more on this topic
S005,Tree,1,3.3340292275574113,Focus more on this topic
S005,nan,2,3.3621052631578947,Focus more on this topic
S006,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S006,Hash Table,5,6.33,Focus more on this topic
S006,Math,7,8.634,Focus more on this topic
S006,Stack,1,1.3608695652173912,Focus more on this topic
S006,Two Pointers,1,2.1105527638190953,Focus more on this topic
S006,nan,1,3.3621052631578947,Focus more on this topic
S007,Database,9,9.34,Focus more on this topic
S007,Design,1,1.0776699029126213,Focus more on this topic
S007,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S007,Hash Table,6,6.33,Focus more on this topic
S007,Tree,3,3.3340292275574113,Focus more on this topic
S008,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S008,Hash Table,6,6.33,Focus more on this topic
S008,Math,5,8.634,Focus more on this topic
S008,Stack,1,1.3608695652173912,Focus more on this topic
S009,Array,30,49.37,Focus more on this topic
S009,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S009,Database,8,9.34,Focus more on this topic
S009,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S009,Hash Table,5,6.33,Focus more on this topic
S009,Linked List,1,1.7715877437325904,Focus more on this topic
S009,Math,6,8.634,Focus more on this topic
S009,String,8,8.428857715430862,Focus more on this topic
S009,Tree,2,3.3340292275574113,Focus more on this topic
S009,Two Pointers,2,2.1105527638190953,Focus more on this topic
S009,nan,2,3.3621052631578947,Focus more on this topic
S010,Array,38,49.37,Focus more on this topic
S010,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S010,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S010,Hash Table,4,6.33,Focus more on this topic
S010,Math,3,8.634,Focus more on this topic
S010,Stack,1,1.3608695652173912,Focus more on this topic
S010,String,5,8.428857715430862,Focus more on this topic
S010,Tree,1,3.3340292275574113,Focus more on this topic
S010,Two Pointers,1,2.1105527638190953,Focus more on this topic
S010,nan,2,3.3621052631578947,Focus more on this topic
S011,Array,45,49.37,Focus more on this topic
S011,Database,6,9.34,Focus more on this topic
S011,Hash Table,4,6.33,Focus more on this topic
S011,Math,2,8.634,Focus more on this topic
S011,Stack,1,1.3608695652173912,Focus more on this topic
S011,String,8,8.428857715430862,Focus more on this topic
S011,Tree,3,3.3340292275574113,Focus more on this topic
S012,Binary Search,1,1.2280701754385965,Focus more on this topic
S012,Database,5,9.34,Focus more on this topic
S012,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S012,Hash Table,5,6.33,Focus more on this topic
S012,Linked List,1,1.7715877437325904,Focus more on this topic
S012,Stack,1,1.3608695652173912,Focus more on this topic
S012,Two Pointers,2,2.1105527638190953,Focus more on this topic
S012,nan,3,3.3621052631578947,Focus more on this topic
S013,Binary Search,1,1.2280701754385965,Focus more on this topic
S013,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S013,Database,8,9.34,Focus more on this topic
S013,Hash Table,6,6.33,Focus more on this topic
S013,Linked List,1,1.7715877437325904,Focus more on this topic
S013,Stack,1,1.3608695652173912,Focus more on this topic
S013,Tree,1,3.3340292275574113,Focus more on this topic
S013,Two Pointers,2,2.1105527638190953,Focus more on this topic
S013,nan,2,3.3621052631578947,Focus more on this topic
S014,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S014,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S014,Design,1,1.0776699029126213,Focus more on this topic
S014,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S014,Hash Table,6,6.33,Focus more on this topic
S014,Shell,1,1.0649350649350648,Focus more on this topic
S014,String,3,8.428857715430862,Focus more on this topic
S014,Tree,3,3.3340292275574113,Focus more on this topic
S014,Two Pointers,1,2.1105527638190953,Focus more on this topic
S015,Backtracking,1,1.0909090909090908,Focus more on this topic
S015,Binary Search,1,1.2280701754385965,Focus more on this topic
S015,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S015,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S015,Math,4,8.634,Focus more on this topic
S015,Shell,1,1.0649350649350648,Focus more on this topic
S015,Two Pointers,2,2.1105527638190953,Focus more on this topic
S015,nan,2,3.3621052631578947,Focus more on this topic
S016,Binary Search,1,1.2280701754385965,Focus more on this topic
S016,Database,5,9.34,Focus more on this topic
S016,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S016,Graph,1,1.148936170212766,Focus more on this topic
S016,Hash Table,6,6.33,Focus more on this topic
S016,Math,6,8.634,Focus more on this topic
S016,String,8,8.428857715430862,Focus more on this topic
S016,Tree,1,3.3340292275574113,Focus more on this topic
S016,Two Pointers,1,2.1105527638190953,Focus more on this topic
S016,nan,1,3.3621052631578947,Focus more on this topic
S017,Binary Search,1,1.2280701754385965,Focus more on this topic
S017,Hash Table,5,6.33,Focus more on this topic
S017,Linked List,1,1.7715877437325904,Focus more on this topic
S017,Stack,1,1.3608695652173912,Focus more on this topic
S017,Tree,2,3.3340292275574113,Focus more on this topic
S017,nan,2,3.3621052631578947,Focus more on this topic
S018,Design,1,1.0776699029126213,Focus more on this topic
S018,Graph,1,1.148936170212766,Focus more on this topic
S018,Hash Table,6,6.33,Focus more on this topic
S018,Linked List,1,1.7715877437325904,Focus more on this topic
S018,Shell,1,1.0649350649350648,Focus more on this topic
S018,Stack,1,1.3608695652173912,Focus more on this topic
S018,Tree,2,3.3340292275574113,Focus more on this topic
S018,Two Pointers,1,2.1105527638190953,Focus more on this topic
S019,Database,6,9.34,Focus more on this topic
S019,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S019,Design,1,1.0776699029126213,Focus more on this topic
S019,Linked List,1,1.7715877437325904,Focus more on this topic
S019,Math,7,8.634,Focus more on this topic
S019,String,6,8.428857715430862,Focus more on this topic
S020,Binary Search,1,1.2280701754385965,Focus more on this topic
S020,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S020,Linked List,1,1.7715877437325904,Focus more on this topic
S020,Shell,1,1.0649350649350648,Focus more on this topic
S020,Stack,1,1.3608695652173912,Focus more on this topic
S020,Two Pointers,1,2.1105527638190953,Focus more on this topic
S020,nan,3,3.3621052631578947,Focus more on this topic
S021,Database,9,9.34,Focus more on this topic
S021,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S021,Linked List,1,1.7715877437325904,Focus more on this topic
S021,Two Pointers,1,2.1105527638190953,Focus more on this topic
S022,Linked List,1,1.7715877437325904,Focus more on this topic
S022,String,6,8.428857715430862,Focus more on this topic
S023,Backtracking,1,1.0909090909090908,Focus more on this topic
S023,Database,9,9.34,Focus more on this topic
S023,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S023,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S023,Graph,1,1.148936170212766,Focus more on this topic
S023,Hash Table,6,6.33,Focus more on this topic
S023,String,4,8.428857715430862,Focus more on this topic
S023,Two Pointers,2,2.1105527638190953,Focus more on this topic
S024,Array,44,49.37,Focus more on this topic
S024,Binary Search,1,1.2280701754385965,Focus more on this topic
S024,Linked List,1,1.7715877437325904,Focus more on this topic
S024,Math,8,8.634,Focus more on this topic
S024,Shell,1,1.0649350649350648,Focus more on this topic
S024,Tree,3,3.3340292275574113,Focus more on this topic
S025,Array,39,49.37,Focus more on this topic
S025,Binary Search,1,1.2280701754385965,Focus more on this topic
S025,Database,8,9.34,Focus more on this topic
S025,Linked List,1,1.7715877437325904,Focus more on this topic
S025,Math,7,8.634,Focus more on this topic
S025,Shell,1,1.0649350649350648,Focus more on this topic
S025,String,4,8.428857715430862,Focus more on this topic
S025,Tree,2,3.3340292275574113,Focus more on this topic
S025,Two Pointers,1,2.1105527638190953,Focus more on this topic
S026,Array,45,49.37,Focus more on this topic
S026,Database,8,9.34,Focus more on this topic
S026,Hash Table,4,6.33,Focus more on this topic
S026,Tree,2,3.3340292275574113,Focus more on this topic
S026,nan,2,3.3621052631578947,Focus more on this topic
S027,Database,7,9.34,Focus more on this topic
S027,Graph,1,1.148936170212766,Focus more on this topic
S027,Linked List,1,1.7715877437325904,Focus more on this topic
S027,Math,6,8.634,Focus more on this topic
S027,Stack,1,1.3608695652173912,Focus more on this topic
S027,nan,3,3.3621052631578947,Focus more on this topic
S028,Array,47,49.37,Focus more on this topic
S028,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S028,Tree,1,3.3340292275574113,Focus more on this topic
S028,nan,2,3.3621052631578947,Focus more on this topic
S029,Array,37,49.37,Focus more on this topic
S029,Database,5,9.34,Focus more on this topic
S029,Design,1,1.0776699029126213,Focus more on this topic
S029,Divide and Conquer,1,1.015625,Focus more on this topic
S029,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S029,Hash Table,6,6.33,Focus more on this topic
S029,Linked List,1,1.7715877437325904,Focus more on this topic
S029,Math,5,8.634,Focus more on this topic
S029,Stack,1,1.3608695652173912,Focus more on this topic
S029,String,2,8.428857715430862,Focus more on this topic
S029,nan,1,3.3621052631578947,Focus more on this topic
S030,Array,35,49.37,Focus more on this topic
S030,Backtracking,1,1.0909090909090908,Focus more on this topic
S030,Database,8,9.34,Focus more on this topic
S030,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S030,Hash Table,4,6.33,Focus more on this topic
S030,Linked List,1,1.7715877437325904,Focus more on this topic
S030,Math,7,8.634,Focus more on this topic
S030,String,4,8.428857715430862,Focus more on this topic
S030,Tree,1,3.3340292275574113,Focus more on this topic
S030,nan,2,3.3621052631578947,Focus more on this topic
S031,Array,35,49.37,Focus more on this topic
S031,Binary Search,1,1.2280701754385965,Focus more on this topic
S031,Database,9,9.34,Focus more on this topic
S031,Design,1,1.0776699029126213,Focus more on this topic
S031,Hash Table,3,6.33,Focus more on this topic
S031,Linked List,1,1.7715877437325904,Focus more on this topic
S031,String,5,8.428857715430862,Focus more on this topic
S031,nan,2,3.3621052631578947,Focus more on this topic
S032,Database,7,9.34,Focus more on this topic
S032,Design,1,1.0776699029126213,Focus more on this topic
S032,Hash Table,6,6.33,Focus more on this topic
S032,Math,7,8.634,Focus more on this topic
S032,String,6,8.428857715430862,Focus more on this topic
S032,Tree,2,3.3340292275574113,Focus more on this topic
S032,nan,3,3.3621052631578947,Focus more on this topic
S033,Array,32,49.37,Focus more on this topic
S033,Database,5,9.34,Focus more on this topic
S033,Divide and Conquer,1,1.015625,Focus more on this topic
S033,Graph,1,1.148936170212766,Focus more on this topic
S033,Hash Table,4,6.33,Focus more on this topic
S033,Math,6,8.634,Focus more on this topic
S033,Stack,1,1.3608695652173912,Focus more on this topic
S033,String,6,8.428857715430862,Focus more on this topic
S033,Tree,2,3.3340292275574113,Focus more on this topic
S033,nan,3,3.3621052631578947,Focus more on this topic
S034,Array,49,49.37,Focus more on this topic
S034,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S034,Concurrency,1,1.0454545454545454,Focus more on this topic
S034,Divide and Conquer,1,1.015625,Focus more on this topic
S034,Graph,1,1.148936170212766,Focus more on this topic
S034,Hash Table,3,6.33,Focus more on this topic
S034,Math,5,8.634,Focus more on this topic
S034,Shell,1,1.0649350649350648,Focus more on this topic
S034,Stack,1,1.3608695652173912,Focus more on this topic
S034,nan,3,3.3621052631578947,Focus more on this topic
S035,Array,29,49.37,Focus more on this topic
S035,Database,9,9.34,Focus more on this topic
S035,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S035,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S035,Hash Table,5,6.33,Focus more on this topic
S035,Linked List,1,1.7715877437325904,Focus more on this topic
S035,Shell,1,1.0649350649350648,Focus more on this topic
S035,Tree,1,3.3340292275574113,Focus more on this topic
S035,Two Pointers,1,2.1105527638190953,Focus more on this topic
S036,Array,38,49.37,Focus more on this topic
S036,Binary Search,1,1.2280701754385965,Focus more on this topic
S036,Database,7,9.34,Focus more on this topic
S036,Divide and Conquer,1,1.015625,Focus more on this topic
S036,Graph,1,1.148936170212766,Focus more on this topic
S036,Math,6,8.634,Focus more on this topic
S036,Shell,1,1.0649350649350648,Focus more on this topic
S036,String,5,8.428857715430862,Focus more on this topic
S036,Tree,2,3.3340292275574113,Focus more on this topic
S036,Two Pointers,1,2.1105527638190953,Focus more on this topic
S037,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S037,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S037,Graph,1,1.148936170212766,Focus more on this topic
S037,Math,8,8.634,Focus more on this topic
S037,String,8,8.428857715430862,Focus more on this topic
S037,Two Pointers,2,2.1105527638190953,Focus more on this topic
S038,Database,5,9.34,Focus more on this topic
S038,Hash Table,5,6.33,Focus more on this topic
S038,Linked List,1,1.7715877437325904,Focus more on this topic
S038,Math,6,8.634,Focus more on this topic
S038,String,7,8.428857715430862,Focus more on this topic
S038,Tree,1,3.3340292275574113,Focus more on this topic
S038,Two Pointers,2,2.1105527638190953,Focus more on this topic
S038,nan,1,3.3621052631578947,Focus more on this topic
S039,Array,48,49.37,Focus more on this topic
S039,Bit Manipulation,1,1.3640350877192982,Focus more on this topic
S039,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S039,Hash Table,4,6.33,Focus more on this topic
S039,Math,6,8.634,Focus more on this topic
S039,String,2,8.428857715430862,Focus more on this topic
S039,Tree,3,3.3340292275574113,Focus more on this topic
S039,nan,1,3.3621052631578947,Focus more on this topic
S040,Array,37,49.37,Focus more on this topic
S040,Backtracking,1,1.0909090909090908,Focus more on this topic
S040,Concurrency,1,1.0454545454545454,Focus more on this topic
S040,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S040,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S040,Math,6,8.634,Focus more on this topic
S040,Stack,1,1.3608695652173912,Focus more on this topic
S040,String,6,8.428857715430862,Focus more on this topic
S040,Two Pointers,1,2.1105527638190953,Focus more on this topic
S040,nan,1,3.3621052631578947,Focus more on this topic
S041,Array,31,49.37,Focus more on this topic
S041,Database,8,9.34,Focus more on this topic
S041,Depth-First Search,1,1.3458333333333334,Focus more on this topic
S041,Dynamic Programming,1,1.686217008797654,Focus more on this topic
S041,Graph,1,1.148936170212766,Focus more on this topic
S041,Math,3,8.634,Focus more on this topic
